Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands,Acct_Open_Dt,Defaulted
198278,21,2,1,F,Single,411.5067461,4/20/2019,9/20/2019
110208,35,16,1,F,Single,394.9982853,4/19/2019,9/19/2019
160827,70,53,1,F,Married,59.00575916,4/18/2019,9/18/2019
183596,48,27,1,M,Single,574.8216925,4/17/2019,9/17/2019
130589,62,44,1,F,Single,84.75366158,4/16/2019,9/16/2019
103014,50,29,1,M,Single,552.2467274,4/15/2019,9/15/2019
188352,67,50,1,M,Single,78.38607932,4/14/2019,9/14/2019
161398,54,34,1,M,Married,314.085069,4/13/2019,9/13/2019
147805,25,8,1,M,Single,3500,4/12/2019,9/12/2019
190621,16,0,1,M,Single,3250,4/11/2019,9/11/2019
161675,66,48,1,M,Single,2850,4/10/2019,10/10/2019
165974,63,43,1,F,Single,2534.63946,4/9/2019,10/9/2019
152551,52,34,1,M,Married,2852.18873,4/8/2019,10/8/2019
142085,25,7,1,F,Married,2879.067137,4/7/2019,10/7/2019
191297,38,20,1,F,Married,2814.312522,4/6/2019,10/6/2019
164185,25,6,1,F,Single,2879.176458,4/5/2019,10/5/2019
122992,50,32,1,F,Single,3462.340629,4/4/2019,10/4/2019
110488,35,15,1,M,Single,3332.771801,4/3/2019,10/3/2019
111434,64,45,1,F,Single,3226.612176,4/2/2019,10/2/2019
176699,68,49,1,F,Married,235.1357629,4/1/2019,10/1/2019
157408,63,45,1,F,Married,60.82862632,3/31/2019,9/30/2019
104797,24,7,1,M,Single,750.7435809,3/30/2019,9/30/2019
167022,58,38,1,F,Married,314.6819894,3/29/2019,9/29/2019
112619,17,0,1,M,Single,1197.444316,3/28/2019,9/28/2019
178782,16,0,1,F,Single,610.5008673,3/27/2019,9/27/2019
130506,20,1,1,M,Single,867.5781431,3/26/2019,9/26/2019
173005,58,38,1,F,Married,284.2330566,3/25/2019,9/25/2019
196406,50,33,1,M,Married,142.5319857,3/24/2019,9/24/2019
151636,58,37,1,M,Single,443.1218792,3/23/2019,9/23/2019
119860,23,5,1,M,Single,1086.924905,3/22/2019,9/22/2019
100079,20,3,1,M,Married,681.5827516,3/21/2019,9/21/2019
135252,52,35,1,M,Married,268.5415695,3/20/2019,9/20/2019
145276,36,16,1,M,Married,429.8250505,3/19/2019,9/19/2019
157539,37,16,1,F,Single,217.9595747,3/18/2019,9/18/2019
178158,61,40,1,F,Married,287.7680412,3/17/2019,9/17/2019
153763,29,11,1,F,Married,387.1689797,3/16/2019,9/16/2019
184637,21,2,1,F,Single,233.2261935,3/15/2019,9/15/2019
129471,22,4,1,F,Married,296.220441,3/14/2019,9/14/2019
172740,31,13,1,F,Single,381.6263384,3/13/2019,9/13/2019
170777,60,42,1,M,Single,97.82479138,3/12/2019,9/12/2019
140244,44,25,1,F,Single,427.346936,3/11/2019,9/11/2019
149411,16,0,1,M,Single,534.6193671,3/10/2019,9/10/2019
155380,18,1,1,F,Married,322.9551348,3/9/2019,9/9/2019
128261,66,47,1,M,Married,313.1380724,3/8/2019,9/8/2019
103771,70,52,1,F,Married,28.52569444,3/7/2019,9/7/2019
179862,19,0,1,M,Married,413.9661157,3/6/2019,9/6/2019
156172,49,30,1,M,Single,396.5517713,3/5/2019,9/5/2019
160283,18,0,1,M,Single,550.0535565,3/4/2019,9/4/2019
181059,24,5,1,F,Single,768.3369443,3/3/2019,9/3/2019
125059,66,46,1,F,Single,430.2457695,3/2/2019,9/2/2019
196280,70,49,1,F,Single,57.96961012,3/1/2019,9/1/2019
108827,25,7,1,F,Single,422.6834837,3/1/2019,9/1/2019
111501,26,8,1,M,Single,298.8722661,2/28/2019,8/28/2019
192032,23,6,1,M,Single,376.1669213,2/27/2019,8/27/2019
196073,35,18,1,F,Single,428.8765231,2/26/2019,8/26/2019
172196,25,6,1,M,Single,619.623702,2/25/2019,8/25/2019
171179,65,46,1,F,Single,357.0767817,2/24/2019,8/24/2019
108405,70,50,1,F,Single,36.73113056,2/23/2019,8/23/2019
110555,26,5,1,M,Single,513.9091147,2/22/2019,8/22/2019
140775,43,22,1,M,Single,383.0935474,2/21/2019,8/21/2019
184678,18,1,1,M,Married,775.5602497,2/20/2019,8/20/2019
190636,39,18,1,M,Single,688.1633261,2/19/2019,8/19/2019
137629,20,2,1,M,Married,250.0483034,2/18/2019,8/18/2019
141654,34,13,1,F,Married,151.2591629,2/17/2019,8/17/2019
174549,69,50,1,F,Single,96.57177764,2/16/2019,8/16/2019
101976,70,53,1,F,Single,156.106545,2/15/2019,8/15/2019
125588,25,7,1,M,Single,1036.422302,2/14/2019,8/14/2019
110830,22,5,1,F,Single,465.6053779,2/13/2019,8/13/2019
101453,57,38,1,F,Married,596.5321778,2/12/2019,8/12/2019
196143,51,31,1,M,Married,514.6965606,2/11/2019,8/11/2019
146751,19,0,1,F,Married,540.6418989,2/10/2019,8/10/2019
122609,64,45,1,F,Married,35.48597259,2/9/2019,8/9/2019
128464,62,42,1,F,Single,92.7900941,2/8/2019,8/8/2019
133656,22,5,1,M,Single,655.1327292,2/7/2019,8/7/2019
107370,46,27,1,M,Single,771.279313,2/6/2019,8/6/2019
169611,56,36,1,M,Single,555.0751738,2/5/2019,8/5/2019
164381,19,2,1,M,Married,289.320228,2/4/2019,8/4/2019
101325,25,8,1,F,Married,319.7637959,2/3/2019,8/3/2019
187545,61,42,1,F,Single,380.0193648,2/2/2019,8/2/2019
140733,35,17,1,M,Single,402.9137936,2/1/2019,8/1/2019
163180,64,46,1,M,Single,217.1632874,1/31/2019,7/31/2019
165026,41,22,1,F,Single,275.294995,1/30/2019,7/30/2019
103182,66,46,1,M,Single,796.0709274,1/29/2019,7/29/2019
106285,62,43,1,M,Single,56.27149032,1/28/2019,7/28/2019
109813,46,28,1,F,Single,713.2035955,1/27/2019,7/27/2019
100018,29,10,1,M,Married,140.7946555,1/26/2019,7/26/2019
135733,65,44,1,M,Single,290.7360244,1/25/2019,7/25/2019
129730,60,39,1,M,Married,203.0429805,1/24/2019,7/24/2019
103606,41,22,1,M,Married,516.9890908,1/23/2019,7/23/2019
128663,46,26,1,F,Married,202.4587138,1/22/2019,7/22/2019
126842,41,24,1,F,Single,428.4593856,1/21/2019,7/21/2019
159663,24,6,1,F,Single,516.0790928,1/20/2019,7/20/2019
121046,62,42,1,F,Married,256.9014828,1/19/2019,7/19/2019
127128,36,15,1,F,Married,376.2971849,1/18/2019,7/18/2019
159668,24,6,1,M,Single,1070.204776,1/17/2019,7/17/2019
160863,49,28,1,M,Married,370.6966267,1/16/2019,7/16/2019
180191,20,3,1,F,Single,266.0967514,1/15/2019,7/15/2019
152361,52,31,1,F,Married,311.9191271,1/14/2019,7/14/2019
140469,21,4,1,F,Single,429.8619791,1/13/2019,7/13/2019
108018,58,39,1,M,Single,818.0944497,1/12/2019,7/12/2019
112856,36,17,1,F,Married,320.2940291,1/11/2019,7/11/2019
115581,18,0,1,F,Married,183.2307779,1/10/2019,7/10/2019
156261,21,3,1,F,Single,564.7148465,1/9/2019,7/9/2019
110157,60,43,1,F,Married,110.3300495,1/8/2019,7/8/2019
150327,63,44,1,F,Single,465.658248,1/7/2019,7/7/2019
177062,64,45,1,M,Single,172.5265908,1/6/2019,7/6/2019
179628,22,5,1,M,Married,360.8051782,1/5/2019,7/5/2019
154549,22,3,1,F,Married,837.3677817,1/4/2019,7/4/2019
174309,26,5,1,F,Married,128.8692649,1/3/2019,7/3/2019
165949,19,0,1,F,Single,484.6961144,1/2/2019,7/2/2019
143867,28,9,1,M,Married,487.8515553,1/1/2019,7/1/2019
115293,24,5,1,M,Married,989.6964115,12/31/2019,6/30/2020
124781,60,39,1,F,Single,165.9840948,12/30/2019,6/30/2020
151108,20,2,1,F,Married,166.5373225,12/29/2019,6/29/2020
134055,43,25,1,M,Married,692.538638,12/28/2019,6/28/2020
158875,23,4,1,M,Married,512.8447128,12/27/2019,6/27/2020
199635,48,27,1,M,Married,628.6211982,12/26/2019,6/26/2020
172931,40,23,1,M,Single,437.5853059,12/25/2019,6/25/2020
110664,64,44,1,M,Single,244.1284514,12/24/2019,6/24/2020
123896,23,6,1,M,Married,479.0179823,12/23/2019,6/23/2020
198927,38,21,1,M,Married,321.0614316,12/22/2019,6/22/2020
193212,19,0,1,M,Married,328.3589705,12/21/2019,6/21/2020
110085,62,42,1,M,Married,387.2442899,12/20/2019,6/20/2020
169347,23,4,1,M,Married,235.0776441,12/19/2019,6/19/2020
167213,34,13,1,F,Married,395.6067606,12/18/2019,6/18/2020
189632,64,47,1,M,Single,65.68992357,12/17/2019,6/17/2020
167717,63,42,1,M,Single,296.012821,12/16/2019,6/16/2020
160508,28,11,1,F,Married,159.3673423,12/15/2019,6/15/2020
125668,16,0,1,M,Married,476.5346165,12/14/2019,6/14/2020
166836,29,11,1,F,Single,509.0594248,12/13/2019,6/13/2020
154044,17,0,1,F,Married,351.8847284,12/12/2019,6/12/2020
183078,55,34,1,F,Married,522.9070466,12/11/2019,6/11/2020
193267,52,31,1,M,Married,314.1997614,12/10/2019,6/10/2020
112976,30,9,1,M,Single,200.7912195,12/9/2019,6/9/2020
114690,16,0,1,F,Married,303.4043979,12/8/2019,6/8/2020
117370,23,5,1,F,Single,787.7636887,12/7/2019,6/7/2020
135686,70,49,1,F,Married,99.83090559,12/6/2019,6/6/2020
173662,18,0,1,F,Married,250.2204478,12/5/2019,6/5/2020
174141,27,7,1,F,Married,488.6956097,12/4/2019,6/4/2020
117625,47,28,1,M,Married,561.796776,12/3/2019,6/3/2020
150029,18,1,1,F,Single,415.4689569,12/2/2019,6/2/2020
149512,19,2,1,F,Single,777.5951773,12/1/2019,6/1/2020
181260,27,8,1,F,Single,355.8158451,11/30/2019,5/30/2020
198494,47,28,1,M,Married,356.572264,11/29/2019,5/29/2020
161421,70,52,1,F,Single,327.935663,11/28/2019,5/28/2020
178940,53,33,1,F,Married,300.7818655,11/27/2019,5/27/2020
127336,21,2,1,M,Married,770.4316087,11/26/2019,5/26/2020
121232,43,23,1,M,Married,689.2935821,11/25/2019,5/25/2020
178596,65,44,1,F,Married,151.2848344,11/24/2019,5/24/2020
101155,30,13,1,F,Single,696.0295489,11/23/2019,5/23/2020
168264,48,30,1,M,Married,237.0227564,11/22/2019,5/22/2020
180115,16,0,1,F,Married,310.3054332,11/21/2019,5/21/2020
158172,63,46,1,M,Single,411.4934109,11/20/2019,5/20/2020
135272,40,22,1,F,Single,629.444886,11/19/2019,5/19/2020
160525,46,27,1,M,Married,393.3264183,11/18/2019,5/18/2020
100210,56,35,1,F,Married,571.9363703,11/17/2019,5/17/2020
111093,19,2,1,F,Married,282.4138477,11/16/2019,5/16/2020
136861,33,12,1,M,Single,454.822674,11/15/2019,5/15/2020
199343,57,38,1,F,Single,478.456794,11/14/2019,5/14/2020
128605,56,36,1,M,Single,193.0311549,11/13/2019,5/13/2020
164611,25,8,1,M,Married,409.9010323,11/12/2019,5/12/2020
192220,55,34,1,M,Single,509.1345942,11/11/2019,5/11/2020
191061,40,20,1,M,Single,423.7222281,11/10/2019,5/10/2020
151362,46,28,1,F,Single,344.2283454,11/9/2019,5/9/2020
187738,42,21,1,M,Married,182.4160381,11/8/2019,5/8/2020
176775,27,8,1,F,Married,161.1440266,11/7/2019,5/7/2020
159600,46,27,1,M,Married,355.735993,11/6/2019,5/6/2020
141403,25,8,1,F,Married,328.8843527,11/5/2019,5/5/2020
171452,42,24,1,M,Married,324.5803862,11/4/2019,5/4/2020
116796,64,46,1,F,Single,454.9945793,11/3/2019,5/3/2020
118790,34,14,1,M,Single,762.0191521,11/2/2019,5/2/2020
159938,64,44,1,F,Single,289.5307529,11/1/2019,5/1/2020
147703,34,16,1,F,Single,458.5579608,10/31/2019,4/30/2020
181163,37,20,1,F,Married,258.8203437,10/30/2019,4/30/2020
168461,21,3,1,M,Single,586.595506,10/29/2019,4/29/2020
171559,68,50,1,M,Married,159.269216,10/28/2019,4/28/2020
168785,26,9,1,F,Single,147.7489935,10/27/2019,4/27/2020
175417,51,34,1,F,Married,308.8097112,10/26/2019,4/26/2020
140551,69,51,1,F,Single,254.7680456,10/25/2019,4/25/2020
143561,38,20,1,M,Single,517.2833796,10/24/2019,4/24/2020
161679,64,45,1,M,Single,105.4432074,10/23/2019,4/23/2020
187609,62,44,1,F,Married,39.95489011,10/22/2019,4/22/2020
164350,70,50,1,M,Married,302.4864881,10/21/2019,4/21/2020
147658,27,9,1,F,Married,311.3847328,10/20/2019,4/20/2020
196071,24,5,1,M,Married,335.7048594,10/19/2019,4/19/2020
173780,24,6,1,F,Married,197.9280454,10/18/2019,4/18/2020
120744,70,50,1,F,Married,81.55524621,10/17/2019,4/17/2020
152233,46,28,1,F,Single,408.0924936,10/16/2019,4/16/2020
101429,61,41,1,M,Single,35.74744486,10/15/2019,4/15/2020
100994,70,53,1,M,Single,319.9288788,10/14/2019,4/14/2020
133327,51,32,1,F,Single,590.2667386,10/13/2019,4/13/2020
196564,49,31,1,F,Single,525.5303261,10/12/2019,4/12/2020
171515,34,13,1,M,Single,939.0853092,10/11/2019,4/11/2020
115864,25,7,1,M,Married,554.2015344,10/10/2019,4/10/2020
162203,24,5,1,M,Single,310.8532989,10/9/2019,4/9/2020
172979,36,15,1,F,Single,877.9333318,10/8/2019,4/8/2020
142500,20,3,1,F,Single,156.6693023,10/7/2019,4/7/2020
159595,20,1,1,F,Single,519.6358893,10/6/2019,4/6/2020
154012,70,53,1,F,Single,103.2503942,10/5/2019,4/5/2020
133980,22,4,1,M,Married,546.9662639,10/4/2019,4/4/2020
130073,61,44,1,M,Single,330.1496076,10/3/2019,4/3/2020
122265,20,2,1,M,Married,655.2242872,10/2/2019,4/2/2020
141110,21,4,1,M,Married,479.7951029,10/1/2019,4/1/2020
117962,19,0,1,F,Married,517.2311218,9/30/2019,3/30/2020
120429,66,49,1,F,Single,71.76435204,9/29/2019,3/29/2020
138510,63,44,1,M,Single,131.0544977,9/28/2019,3/28/2020
102952,51,30,1,F,Single,648.3377527,9/27/2019,3/27/2020
116550,37,17,1,M,Married,341.0717472,9/26/2019,3/26/2020
189773,16,0,1,M,Married,511.7329733,9/25/2019,3/25/2020
153902,21,4,1,M,Married,252.3853189,9/24/2019,3/24/2020
129663,23,6,1,F,Married,187.9585249,9/23/2019,3/23/2020
198193,63,44,1,F,Single,153.8388035,9/22/2019,3/22/2020
169076,63,42,1,M,Married,94.0483353,9/21/2019,3/21/2020
169427,52,32,1,M,Married,208.3574065,9/20/2019,3/20/2020
166756,30,10,1,M,Married,396.8456932,9/19/2019,3/19/2020
105539,21,4,1,F,Married,296.0244249,9/18/2019,3/18/2020
169496,63,46,1,M,Married,75.81174432,9/17/2019,3/17/2020
200391,45,27,1,F,Married,448.5662485,9/16/2019,3/16/2020
117445,61,41,1,F,Married,130.9914388,9/15/2019,3/15/2020
128507,34,16,1,M,Married,147.2741212,9/14/2019,3/14/2020
190032,16,0,1,F,Single,640.2131123,9/13/2019,3/13/2020
112590,23,5,1,M,Married,420.4922713,9/12/2019,3/12/2020
137410,25,7,1,F,Married,396.1408555,9/11/2019,3/11/2020
186036,16,0,1,M,Married,478.3520156,9/10/2019,3/10/2020
105765,30,9,1,F,Married,292.5163921,9/9/2019,3/9/2020
182237,48,29,1,F,Married,527.9214511,9/8/2019,3/8/2020
110357,17,0,1,F,Married,246.7103971,9/7/2019,3/7/2020
196401,69,49,1,M,Married,169.4418198,9/6/2019,3/6/2020
119519,28,9,1,M,Single,440.4587335,9/5/2019,3/5/2020
196503,29,9,1,F,Married,289.6606846,9/4/2019,3/4/2020
192607,24,7,1,M,Single,681.6009788,9/3/2019,3/3/2020
124865,67,48,1,F,Married,162.021823,9/2/2019,3/2/2020
194944,45,28,1,F,Single,237.9548251,9/1/2019,3/1/2020
187015,38,19,1,M,Single,726.0985559,8/31/2019,2/29/2020
165695,50,31,1,M,Single,728.5124594,8/30/2019,2/29/2020
153893,51,32,1,M,Single,445.3525652,8/29/2019,2/29/2020
167349,44,23,1,F,Single,427.1032675,8/28/2019,2/28/2020
140976,52,33,1,M,Married,264.9045348,8/27/2019,2/27/2020
185143,21,2,1,M,Married,317.4901628,8/26/2019,2/26/2020
136163,20,1,1,F,Married,356.4554345,8/25/2019,2/25/2020
125842,70,49,1,M,Single,639.261733,8/24/2019,2/24/2020
159297,60,40,1,M,Married,152.0660029,8/23/2019,2/23/2020
100408,33,15,1,M,Married,598.6892757,8/22/2019,2/22/2020
188214,16,0,1,F,Married,382.4581608,8/21/2019,2/21/2020
101548,19,2,1,M,Married,339.775025,8/20/2019,2/20/2020
107666,62,45,1,F,Married,97.0052298,8/19/2019,2/19/2020
192742,35,17,1,M,Married,167.8386883,8/18/2019,2/18/2020
127036,16,0,1,F,Single,622.0789033,8/17/2019,2/17/2020
178574,34,14,1,F,Married,196.5073839,8/16/2019,2/16/2020
148317,26,8,1,M,Single,489.774795,8/15/2019,2/15/2020
169827,23,4,1,M,Married,307.9160669,8/14/2019,2/14/2020
158864,48,31,1,F,Single,581.3363152,8/13/2019,2/13/2020
149804,33,14,1,F,Married,324.7471949,8/12/2019,2/12/2020
178723,33,15,1,M,Married,546.5349024,8/11/2019,2/11/2020
158387,57,40,1,F,Single,379.2612055,8/10/2019,2/10/2020
197918,61,41,1,F,Married,122.8351382,8/9/2019,2/9/2020
129981,70,49,1,M,Married,401.9377187,8/8/2019,2/8/2020
194863,61,40,1,M,Married,39.06923279,8/7/2019,2/7/2020
182161,24,5,1,M,Married,604.5968924,8/6/2019,2/6/2020
180475,39,21,1,M,Single,352.1776675,8/5/2019,2/5/2020
140740,52,32,1,F,Single,323.3784995,8/4/2019,2/4/2020
169171,25,7,1,M,Married,180.2839243,8/3/2019,2/3/2020
115611,67,46,1,F,Married,299.7655866,8/2/2019,2/2/2020
152972,25,6,1,M,Married,583.9925703,8/1/2019,2/1/2020
152327,56,38,1,F,Single,484.2868664,7/31/2019,1/31/2020
107571,26,8,1,M,Married,425.3481104,7/30/2019,1/30/2020
172758,63,43,1,F,Married,40.93404521,7/29/2019,1/29/2020
126567,62,42,1,F,Single,127.4005318,7/28/2019,1/28/2020
191861,52,31,1,M,Married,332.1391406,7/27/2019,1/27/2020
126307,53,35,1,M,Married,382.1779015,7/26/2019,1/26/2020
101826,34,15,1,M,Married,201.8179313,7/25/2019,1/25/2020
151310,17,0,1,M,Married,449.274253,7/24/2019,1/24/2020
196931,17,0,1,F,Married,479.4391977,7/23/2019,1/23/2020
128634,64,46,1,M,Married,206.7379713,7/22/2019,1/22/2020
161597,68,51,1,M,Single,48.10845199,7/21/2019,1/21/2020
109884,18,0,1,M,Married,333.2548377,7/20/2019,1/20/2020
169116,31,12,1,M,Single,800.6210897,7/19/2019,1/19/2020
190939,18,1,1,F,Married,181.7398301,7/18/2019,1/18/2020
185233,67,46,1,F,Married,207.5631629,7/17/2019,1/17/2020
118109,69,49,1,F,Married,44.85076261,7/16/2019,1/16/2020
160237,49,30,1,F,Single,389.6227552,7/15/2019,1/15/2020
177000,22,4,1,M,Married,456.2160705,7/14/2019,1/14/2020
189028,59,40,1,M,Single,780.2021419,7/13/2019,1/13/2020
161478,17,0,1,M,Single,852.9917769,7/12/2019,1/12/2020
188298,62,43,1,M,Married,298.1251488,7/11/2019,1/11/2020
171213,44,23,1,F,Single,517.2484855,7/10/2019,1/10/2020
101617,25,6,1,F,Single,227.3336458,7/9/2019,1/9/2020
125820,54,34,1,M,Married,395.9018181,7/8/2019,1/8/2020
150893,22,3,1,F,Single,238.1623425,7/7/2019,1/7/2020
171784,23,5,1,M,Married,623.8842385,7/6/2019,1/6/2020
157566,60,39,1,F,Single,188.1206318,7/5/2019,1/5/2020
184178,21,2,1,M,Married,544.2032325,7/4/2019,1/4/2020
117590,19,0,1,M,Single,325.562891,7/3/2019,1/3/2020
103030,24,6,1,F,Married,182.8039805,7/2/2019,1/2/2020
137592,66,47,1,F,Single,155.5223241,7/1/2019,1/1/2020
175249,31,13,1,F,Single,502.7124322,6/30/2019,12/30/2019
146920,42,25,1,M,Single,262.9411765,6/29/2019,12/29/2019
199913,37,19,1,M,Married,324.1466938,6/28/2019,12/28/2019
177817,32,12,1,F,Married,312.2857892,6/27/2019,12/27/2019
176406,56,38,1,F,Single,205.9058749,6/26/2019,12/26/2019
118396,57,39,1,F,Single,367.8672027,6/25/2019,12/25/2019
179121,67,48,1,F,Married,165.6764223,6/24/2019,12/24/2019
172178,24,5,1,M,Married,451.8458055,6/23/2019,12/23/2019
127158,55,38,1,M,Married,354.9675474,6/22/2019,12/22/2019
150804,36,17,1,M,Married,375.07503,6/21/2019,12/21/2019
196933,17,0,1,M,Single,841.6097425,6/20/2019,12/20/2019
156935,23,4,1,M,Single,565.75928,6/19/2019,12/19/2019
187466,61,42,1,M,Married,341.8587982,6/18/2019,12/18/2019
145693,48,29,1,F,Single,407.1739205,6/17/2019,12/17/2019
161277,25,6,1,F,Single,559.1451267,6/16/2019,12/16/2019
117086,16,0,1,M,Married,547.4455297,6/15/2019,12/15/2019
103922,41,21,1,M,Single,169.8042272,6/14/2019,12/14/2019
195112,21,4,1,M,Married,1066.302464,6/13/2019,12/13/2019
192661,25,8,1,F,Married,250.8077066,6/12/2019,12/12/2019
159443,55,36,1,F,Married,188.8132454,6/11/2019,12/11/2019
178402,22,3,1,F,Single,567.0537545,6/10/2019,12/10/2019
